t,pressure
0.183,98903.52
0.184,92149.92
0.185,100000.0
0.186,95560.0
0.187,91926.40000000001
0.188,92955.04000000001
0.189,98155.04000000001
0.19,95933.76
0.191,96263.52
0.192,92566.56
0.193,100000.0
0.194,94718.72
0.195,95534.08
0.196,95022.88
0.197,96740.64
0.198,97947.36
0.199,96580.96
0.2,97049.6
0.201,98019.2
0.202,94151.68000000001
0.203,96008.0
0.20400000000000001,96100.16
0.20500000000000002,96556.8
0.20600000000000002,92898.72
0.20700000000000002,95688.96
0.20800000000000002,94224.48
0.209,95488.32
0.21,93131.04000000001
0.211,97121.6
0.212,98373.44
0.213,94712.16
0.214,91112.64
0.215,100000.0
0.216,94160.64
0.217,92709.76
0.218,97315.2
0.219,98389.44
0.22,91106.88
0.221,94401.76
0.222,96883.68000000001
0.223,96465.76
0.224,95831.68000000001
0.225,92390.56
0.226,94055.2
0.227,94722.24
0.228,92001.6
0.229,97613.28
0.23,96960.16
0.231,97296.96
0.232,93348.8
0.233,98445.6
0.234,94263.36
0.23500000000000001,97945.76000000001
0.23600000000000002,97991.2
0.23700000000000002,98350.08
0.23800000000000002,92230.08
0.23900000000000002,93360.96
0.24,94813.28
0.241,94452.64
0.242,94859.04000000001
0.243,91401.92
0.244,95791.36
0.245,94664.64
0.246,92993.44
0.247,100000.0
0.248,97069.92
0.249,96462.24
0.25,95869.44
0.251,98413.6
0.252,94439.04000000001
0.253,95729.76
0.254,94962.72
0.255,93994.72
0.256,92235.04000000001
0.257,99050.08
0.258,93095.68000000001
0.259,91447.04000000001
0.26,96451.04000000001
0.261,91914.88
0.262,89105.44
0.263,97064.0
0.264,98165.76000000001
0.265,99316.16
0.266,92488.8
0.267,98416.8
0.268,95942.40000000001
0.269,95099.84
0.27,91532.32
0.271,95864.8
0.272,97855.2
0.273,96326.88
0.274,93041.92
0.275,99480.96
0.276,97407.84
0.277,95984.64
0.278,96265.6
0.279,100000.0
0.28,95510.08
0.281,95372.64
0.28200000000000003,95958.72
0.28300000000000003,96436.32
0.28400000000000003,97613.76
0.28500000000000003,93262.72
0.28600000000000003,98015.2
0.28700000000000003,95224.96
0.28800000000000003,92475.2
0.289,92479.52
0.29,99005.76000000001
0.291,94906.40000000001
0.292,92655.04000000001
0.293,94938.08
0.294,94162.72
0.295,97299.04000000001
0.296,96187.52
0.297,96333.28
0.298,95528.32
0.299,95057.12
0.3,91324.0
0.301,100000.0
0.302,95991.36
0.303,98054.08
0.304,97404.0
0.305,94200.8
0.306,92194.40000000001
0.307,95525.92
0.308,95346.08
0.309,91035.2
0.31,94500.32
0.311,97532.96
0.312,94615.52
0.313,94246.88
0.314,96291.04000000001
0.315,98971.36
0.316,92500.96
0.317,97086.72
0.318,94587.04000000001
0.319,97346.08
0.32,94143.68000000001
0.321,94170.88
0.322,96795.52
0.323,99047.52
0.324,98752.96
0.325,94765.6
0.326,95376.16
0.327,99787.84
0.328,94908.64
0.329,97608.0
0.33,97761.44
0.331,92161.44
0.332,94520.8
0.333,96205.92
0.334,95291.52
0.335,95880.32
0.336,96206.24
0.337,96064.96
0.338,93742.72
0.339,97213.76
0.34,95251.2
0.341,89888.64
0.342,94434.88
0.343,100000.0
0.34400000000000003,99138.24
0.34500000000000003,94914.56
0.34600000000000003,99672.48
0.34700000000000003,97890.24
0.34800000000000003,94115.36
0.34900000000000003,95821.28
0.35000000000000003,93786.40000000001
0.35100000000000003,95801.92
0.352,94017.44
0.353,97709.12
0.354,93734.56
0.355,98472.48
0.356,94623.04000000001
0.357,96271.68000000001
0.358,94769.6
0.359,91975.68000000001
0.36,92422.88
0.361,96773.92
0.362,98203.36
0.363,91815.52
0.364,94484.48
0.365,96303.04000000001
0.366,88901.12
0.367,97333.44
0.368,92423.84
0.369,93854.72
0.37,97168.32
0.371,93327.36
0.372,92658.24
0.373,95272.96
0.374,91784.16
0.375,93157.92
0.376,92229.92
0.377,89889.12
0.378,93053.28
0.379,97109.76
0.38,94856.32
0.381,99045.28
0.382,93451.84
0.383,93931.2
0.384,96228.0
0.385,90213.6
0.386,92813.76
0.387,96007.52
0.388,96595.04000000001
0.389,94749.6
0.39,98646.72
0.391,97872.64
0.392,94698.88
0.393,93687.68000000001
0.394,96236.8
0.395,94639.36
0.396,99109.12
0.397,95547.68000000001
0.398,97403.84
